"","bm.Dish_name","bm.price","bm.event1","bm.physical_description1","bm.states"
"3449","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"3450","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"3474","Boiled potatoes",0.2,"LUNCH","CARD","ND"
"3476","Boiled potatoes",0.05,"LUNCH","CARD","NY"
"3477","Boiled potatoes",0.1,"DINNER","FOLDER","AL"
"3495","Boiled potatoes",0.1,"LUNCH","CARD","AL"
"3506","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"3510","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"3511","Boiled potatoes",0.1,"LUNCH","FOLDER","NY"
"3542","Boiled potatoes",10,"LUNCH","CARD","AR"
"3545","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"3587","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"3588","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"3669","Boiled potatoes",0.1,"LUNCH","CARD","AR"
"3717","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"3719","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"3720","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"3722","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"3862","Boiled potatoes",0.1,"LUNCH","CARD","NY"
"3905","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"3961","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"3972","Boiled potatoes",0.15,"LUNCH","BROADSHEET","NY"
"3981","Boiled potatoes",0.1,"DAILY","BROADSHEET","NY"
"3987","Boiled potatoes",0.1,"BREAKFAST","FOLDER","NY"
"3992","Boiled potatoes",0.1,"DINNER","FOLDER","IA"
"4005","Boiled potatoes",0.2,"DINNER","BROADSHEET","NY"
"4021","Boiled potatoes",0.1,"DINNER","BOOKLET","CA"
"4032","Boiled potatoes",0.1,"DINNER","FOLDER","LA"
"4038","Boiled potatoes",0.05,"DAILY","FOLDER","NY"
"4041","Boiled potatoes",0.15,"DINNER","BOOKLET","NY"
"4062","Boiled potatoes",0.15,"LUNCH","CARD","IL"
"4075","Boiled potatoes",0.1,"DINNER","BROADSHEET","NY"
"4084","Boiled potatoes",0.1,"DINNER","BROADSHEET","IN"
"4092","Boiled potatoes",0.1,"DAILY","FOLDER","NJ"
"4102","Boiled potatoes",0.15,"DINNER","FOLDER","NY"
"4105","Boiled potatoes",0.15,"LUNCH","CARD","MO"
"4118","Boiled potatoes",0.15,"LUNCH","BROADSHEET","NY"
"4152","Boiled potatoes",0.1,"DINNER","CARD","NY"
"4179","Boiled potatoes",0.1,"BREAKFAST","FOLDER","NY"
"4183","Boiled potatoes",0.15,"LUNCH","CARD","IL"
"4210","Boiled potatoes",0.15,"DINNER","CARD","MA"
"4213","Boiled potatoes",0.2,"DINNER","BROADSHEET","NY"
"4216","Boiled potatoes",0.2,"DINNER","CARD","NY"
"4243","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"4247","Boiled potatoes",0.1,"DINNER","CARD","LA"
"4254","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"4256","Boiled potatoes",0.1,"DAILY","CARD","NY"
"4261","Boiled potatoes",0.15,"DINNER","FOLDER","NY"
"4286","Boiled potatoes",0.1,"LUNCH","BROADSHEET","AR"
"4292","Boiled potatoes",0.15,"DINNER","BOOKLET","NY"
"4311","Boiled potatoes",0.05,"BREAKFAST","FOLDER","NY"
"4317","Boiled potatoes",0.15,"DAILY","CARD","IL"
"4324","Boiled potatoes",0.1,"LUNCH","FOLDER","NE"
"4331","Boiled potatoes",0.2,"DINNER","FOLDER","NY"
"4337","Boiled potatoes",0.1,"DINNER","FOLDER","NY"
"4356","Boiled potatoes",0.15,"DAILY","BROADSHEET","NY"
"4357","Boiled potatoes",0.05,"DAILY","FOLDER","NY"
"4363","Boiled potatoes",0.1,"DINNER","CARD","NY"
"4370","Boiled potatoes",0.1,"DAILY","CARD","IL"
"4379","Boiled potatoes",0.15,"DINNER","BROADSHEET","NY"
"4401","Boiled potatoes",0,"DAILY","BOOKLET","CA"
"4423","Boiled potatoes",0.25,"DINNER","CARD","NY"
"4430","Boiled potatoes",0.1,"DAILY","CARD","NY"
"4449","Boiled potatoes",0.1,"DINNER","FOLDER","LA"
"4451","Boiled potatoes",0.1,"DINNER","FOLDER","WA"
"4460","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"4474","Boiled potatoes",0.15,"LUNCH","CARD","AR"
"4498","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"4506","Boiled potatoes",0.25,"LUNCH","OTHER","CA"
"4647","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"4769","Boiled potatoes",0.1,"DINNER","CARD","AR"
"5941","Mashed potatoes",0.15,"DINNER","FOLDER","NY"
"5954","Mashed potatoes",0.15,"DAILY","CARD","NY"
"5964","Mashed potatoes",0.2,"DINNER","BROADSHEET","NY"
"5965","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"6006","Mashed potatoes",0.15,"LUNCH","CARD","AR"
"6008","Mashed potatoes",0.15,"DAILY","CARD","NY"
"6034","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"6036","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6054","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6062","Mashed potatoes",0.15,"DINNER","FOLDER","AL"
"6081","Mashed potatoes",0.15,"LUNCH","BROADSHEET","NY"
"6096","Mashed potatoes",0.1,"LUNCH","CARD","AL"
"6103","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6108","Mashed potatoes",0.1,"LUNCH","BROADSHEET","NY"
"6111","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"6120","Mashed potatoes",0.15,"DINNER","CARD","NY"
"6157","Mashed potatoes",10,"LUNCH","CARD","AR"
"6160","Mashed potatoes",0.15,"DAILY","CARD","NY"
"6167","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6169","Mashed potatoes",0.1,"LUNCH","CARD","AL"
"6177","Mashed potatoes",0.15,"LUNCH","CARD","NY"
"6179","Mashed potatoes",0.15,"DINNER","CARD","NY"
"6210","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6212","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6224","Mashed potatoes",0.1,"LUNCH","BROADSHEET","CA"
"6246","Mashed potatoes",10,"DAILY","CARD","CA"
"6283","Mashed potatoes",0.15,"LUNCH","CARD","AR"
"6303","Mashed potatoes",0.1,"DAILY","FOLDER","NY"
"6307","Mashed potatoes",0.1,"LUNCH","BROADSHEET","NY"
"6308","Mashed potatoes",0.1,"LUNCH","BROADSHEET","NY"
"6310","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"6385","Mashed potatoes",0.1,"DINNER","FOLDER","RI"
"6400","Mashed potatoes",0.1,"LUNCH","CARD","NY"
"6427","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6472","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"6483","Mashed potatoes",0.15,"LUNCH","BROADSHEET","NY"
"6485","Mashed potatoes",0.1,"DAILY","CARD","CO"
"6487","Mashed potatoes",0.1,"LUNCH","CARD","CO"
"6496","Mashed potatoes",0.1,"DAILY","BROADSHEET","NY"
"6508","Mashed potatoes",0.1,"DINNER","FOLDER","IA"
"6522","Mashed potatoes",0.15,"DAILY","BROADSHEET","CA"
"6523","Mashed potatoes",0.05,"DAILY","CARD","CO"
"6541","Mashed potatoes",0.2,"DAILY","CARD","IL"
"6560","Mashed potatoes",0.1,"DINNER","BOOKLET","CA"
"6561","Mashed potatoes",0.15,"DAILY","BROADSHEET","IN"
"6584","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"6586","Mashed potatoes",0.05,"DAILY","FOLDER","NY"
"6590","Mashed potatoes",0.2,"DINNER","BOOKLET","NY"
"6660","Mashed potatoes",0.05,"LUNCH","BROADSHEET","OH"
"6671","Mashed potatoes",0.15,"DAILY","BROADSHEET","NY"
"6673","Mashed potatoes",0.1,"DAILY","FOLDER","NJ"
"6712","Mashed potatoes",0.15,"DINNER","BOOKLET","PA"
"6719","Mashed potatoes",0.15,"LUNCH","BROADSHEET","NY"
"6721","Mashed potatoes",0.1,"DAILY","BROADSHEET","MA"
"6775","Mashed potatoes",0.1,"DINNER","CARD","NY"
"6779","Mashed potatoes",0.1,"DINNER","FOLDER","AR"
"6818","Mashed potatoes",0.2,"LUNCH","CARD","IL"
"6822","Mashed potatoes",0.2,"LUNCH","CARD","IL"
"6835","Mashed potatoes",0.05,"DAILY","FOLDER","AR"
"6839","Mashed potatoes",0.25,"LUNCH","CARD","NY"
"6868","Mashed potatoes",0.1,"DAILY","FOLDER","IL"
"6871","Mashed potatoes",0.15,"DINNER","CARD","MA"
"6873","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6921","Mashed potatoes",0.1,"DINNER","BROADSHEET","RI"
"6925","Mashed potatoes",0.1,"LUNCH","CARD","NY"
"6934","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"6940","Mashed potatoes",0.1,"DINNER","CARD","LA"
"6955","Mashed potatoes",0.1,"DAILY","FOLDER","NY"
"6959","Mashed potatoes",0.1,"DAILY","CARD","NY"
"6971","Mashed potatoes",15,"LUNCH","CARD","NY"
"6975","Mashed potatoes",0.15,"DINNER","BROADSHEET","CA"
"7002","Mashed potatoes",0.15,"LUNCH","BROADSHEET","AR"
"7011","Mashed potatoes",0.15,"DINNER","BOOKLET","NY"
"7060","Mashed potatoes",0.1,"LUNCH","FOLDER","NE"
"7072","Mashed potatoes",0.2,"DINNER","FOLDER","NY"
"7082","Mashed potatoes",0.1,"DINNER","FOLDER","NY"
"7118","Mashed potatoes",0.15,"DAILY","BROADSHEET","NY"
"7146","Mashed potatoes",0.1,"DAILY","CARD","IL"
"7149","Mashed potatoes",0.2,"DINNER","FOLDER","NY"
"7160","Mashed potatoes",0.15,"DINNER","BROADSHEET","NY"
"7182","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"7215","Mashed potatoes",0.15,"LUNCH","CARD","HI"
"7222","Mashed potatoes",0.05,"DAILY","FOLDER","NY"
"7226","Mashed potatoes",0.25,"DINNER","CARD","NY"
"7236","Mashed potatoes",0.15,"DAILY","CARD","NY"
"7279","Mashed potatoes",0.1,"DAILY","FOLDER","NY"
"7294","Mashed potatoes",0.1,"DINNER","FOLDER","MO"
"7299","Mashed potatoes",0.15,"DINNER","BROADSHEET","CA"
"7302","Mashed potatoes",0.15,"LUNCH","CARD","AR"
"7325","Mashed potatoes",0.1,"DAILY","FOLDER","NY"
"7366","Mashed potatoes",0.65,"DAILY","OTHER","CP"
