Dish_id,Dish_name,menu_page_id,price,Menu_id,Menupage_id,event,place,physical_description,notes,date
83,Mashed potatoes,10001,,15728,10001,,,,,1901-05-10T00:00:00Z
83,Mashed potatoes,10003,,15729,10003,,,,,1901-05-25T00:00:00Z
83,Mashed potatoes,10008,,15732,10008,,,,,1901-05-25T00:00:00Z
83,Mashed potatoes,10014,,15734,10014,,,,,1900-11-29T00:00:00Z
83,Mashed potatoes,10036,,15741,10036,,,,,1900-12-05T00:00:00Z
83,Mashed potatoes,10096,,15762,10096,,,,,1901-04-27T00:00:00Z
83,Mashed potatoes,10098,0.1,15763,10098,,,,,1901-04-27T00:00:00Z
83,Mashed potatoes,10134,,15777,10134,,,,,1901-05-11T00:00:00Z
83,Mashed potatoes,10152,,15785,10152,,,,,1901-05-01T00:00:00Z
83,Mashed potatoes,10158,,15788,10158,,,,,1900-07-04T00:00:00Z
83,Mashed potatoes,10169,,15792,10169,,,,,1900-07-04T00:00:00Z
83,Mashed potatoes,10183,,15799,10183,,,,,1900-07-06T00:00:00Z
83,Mashed potatoes,10187,,15800,10187,,,,,1900-07-07T00:00:00Z
83,Mashed potatoes,10206,0.15,15805,10206,,,,,1900-07-01T00:00:00Z
83,Mashed potatoes,10243,,15819,10243,,,,,1900-08-16T00:00:00Z
83,Mashed potatoes,10248,,15821,10248,,,,,1900-08-17T00:00:00Z
83,Mashed potatoes,10270,,15829,10270,,,,,1901-06-16T00:00:00Z
83,Mashed potatoes,10304,0.1,15841,10304,,,,,1900-06-01T00:00:00Z
83,Mashed potatoes,10306,,15842,10306,,,,,1900-06-01T00:00:00Z
83,Mashed potatoes,10312,,15844,10312,,,,,1900-06-01T00:00:00Z
83,Mashed potatoes,10316,,15846,10316,,,,,1900-06-04T00:00:00Z
83,Mashed potatoes,10332,,15850,10332,,,,,1900-06-06T00:00:00Z
83,Mashed potatoes,10340,,15852,10340,,,,,1900-07-08T00:00:00Z
83,Mashed potatoes,10344,,15853,10344,,,,,1900-07-08T00:00:00Z
83,Mashed potatoes,10348,,15854,10348,,,,,1900-07-08T00:00:00Z
83,Mashed potatoes,10376,,15859,10376,,,,,1900-07-09T00:00:00Z
83,Mashed potatoes,10378,0.1,15860,10378,,,,,1900-07-09T00:00:00Z
83,Mashed potatoes,10382,,15861,10382,,,,,1900-07-09T00:00:00Z
83,Mashed potatoes,10423,,15874,10423,,,,,1900-10-11T00:00:00Z
83,Mashed potatoes,1067,,12758,1067,DINNER,"PANAMA LINE,CITY OF PARA",FOLDER;5.5X8.5;,,1900-04-23T00:00:00Z
83,Mashed potatoes,10914,,16029,10914,,,,,1901-07-10T00:00:00Z
83,Mashed potatoes,1099,,12771,1099,BREAKFAST,EN RPUTE ABOARD R.M.S. CAMPANIA,CARD; 4.25 X 6.5;,WINE LIST ON BACK PRICED IN BRITISH CURRENCY;,1900-02-27T00:00:00Z
83,Mashed potatoes,1101,,12772,1101,LUNCH,,BROADSIDE; ILLUS; 5.5X8.5;,HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;,1900-03-13T00:00:00Z
83,Mashed potatoes,1103,,12773,1103,DINNER,,FOLDER; ILLUS; 5.5X8.5;,"ITEMS OF THE DAY HANDWRITTEN IN LAVENDAR INK ON PRINTED FORM; DECORATIVE BORDER & ANCHOR, FLAGS, ETC. ON COVER;",1900-03-13T00:00:00Z
83,Mashed potatoes,11152,,16092,11152,,,,,1901-08-08T00:00:00Z
83,Mashed potatoes,1117,,12778,1117,DINNER,,CARD; 4.25X6.75; ILLUS; COL;,"ILLUS, RED FLAG WITH BRITISH LION HOLDING GLOBE OF THE WORLD; PRICED WINE LIST;",1900-02-12T00:00:00Z
83,Mashed potatoes,11194,,16109,11194,,,,,1906-12-31T00:00:00Z
83,Mashed potatoes,11196,0.1,16110,11196,,,,,1906-12-31T00:00:00Z
83,Mashed potatoes,11246,0.1,16125,11246,,,,,1901-07-04T00:00:00Z
83,Mashed potatoes,1127,0.15,12782,1127,DINNER MENU,NY,FOLDER; ILLUS; COL; 6.25X8.75;,A LA CARTE DU JOUR DINNER MENU; INCLUDES EXTENSIVE PRICED WINE LIST; HOTEL MONOGRAM ON COVER;,1900-01-12T00:00:00Z
83,Mashed potatoes,11278,,16136,11278,,,,,1901-07-20T00:00:00Z
83,Mashed potatoes,11344,,16166,11344,,,,,1901-07-21T00:00:00Z
83,Mashed potatoes,11370,,16177,11370,,,,,1901-07-21T00:00:00Z
83,Mashed potatoes,11393,0.2,16187,11393,,,,,1901-01-01T00:00:00Z
83,Mashed potatoes,11535,,16225,11535,,,,,1901-09-13T00:00:00Z
83,Mashed potatoes,11547,,16228,11547,,,,,1901-09-14T00:00:00Z
83,Mashed potatoes,11555,,16231,11555,,,,,1901-09-16T00:00:00Z
83,Mashed potatoes,1163,0.2,12793,1163,LUNCHEON MENU,NY,BROADSIDE; ILLUS; COL; 4.5X7.5;,PRICED A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-02-13T00:00:00Z
83,Mashed potatoes,1167,,12795,1167,,THE ALTON LIMITED,BOOKLET;ILL;COL;5.5X4;,WINE LIST ONLY;DATE BY FB;VARIOUS ILLUSTRATIONS;FASTENED AT LEFT BY CORD;,1900-04-03T00:00:00Z
83,Mashed potatoes,11734,,16287,11734,,,,,1905-12-31T00:00:00Z
83,Mashed potatoes,1177,,12799,1177,DINNER,"BLEECKER,THOMPSON,AND SULLIVAN STREETS,[NY]",BROADSHEET;3.75X6;,,1900-04-05T00:00:00Z
83,Mashed potatoes,1189,,12803,1189,BILL OF FARE/BREAKFAST/DINNER,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",BROADSHEET; 3.75X6.0;,"REGULAR DINNER: 15 CENTS: SOUP, ONE MEAT DISH, TWO VEGETABLES, DESSERT, TEA, COFFEE OR MILK;",1900-04-06T00:00:00Z
83,Mashed potatoes,1191,0.15,12804,1191,CARTE DU JOUR,NY,CARD; 6.5X10.0;,,1900-04-07T00:00:00Z
83,Mashed potatoes,1193,,12805,1193,TABLE D'HOTE DINNER,NY,CARD; 5.5X7.0;,"INITIALS ""ULC"" IN PALE BLUE;",1900-04-07T00:00:00Z
83,Mashed potatoes,1195,,12806,1195,DINNER,NY,BROADSIDE; 5.25X7.5;,LOGO OF HOTEL IN RED;,1900-04-07T00:00:00Z
83,Mashed potatoes,1197,,12807,1197,BILL OF FARE/DINNER,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",BROADSHEET; 3.75X6.0;,"REGULAR DINNER: 15 CENTS: SOUP, ONE MEAT DISH, TWO VEGETABLES, DESSERT, TEA, COFFEE OR MILK;",1900-04-07T00:00:00Z
83,Mashed potatoes,1200,,12808,1200,DINNER,NY,FOLDER; ILLUS; COL; 5.5X9.0;,"ILLUS, ENGRAVING OF HOTEL ON COVER; MENU ON BACK PAGE; INNER PAGES HAVE A BIRD'E EYE MAP OF NEW YORK SHOWING ALL STEAMER DOCKS, FERRIES, ELEVATED AND CABLE ROADS, AND ALL CROSS TOWN ROADS; OBJECTS OF INTEREST IN AND ABOUT NEW YORK LISTED;",1900-04-07T00:00:00Z
83,Mashed potatoes,1203,,12809,1203,LUNCHEON,,CARD; 4.25X6.5;,BEVELED EDGES GOLD TIPPED; RED FLAG WITH LION WEARING CROWN AND HOLDING GLOBE; PRICED WINE LIST;,1900-04-07T00:00:00Z
83,Mashed potatoes,1225,,12817,1225,BUSINESS MEN'S LUNCH,NY,CARD; ILLUS; 4.5X5.75;,TABLE D'HOTE LUNCH -- 35 CENTS; RESTAURANT MONOGRAM IN WREATH;,1900-04-26T00:00:00Z
83,Mashed potatoes,1227,,12818,1227,TABLE D'HOTE DINNER,NY,CARD; ILLUS; 4.5X5.75;,TABLE D'HOTE DINNER -- 50 CENTS; PRICED WINE LIST ON BACK OF MENU;,1900-04-26T00:00:00Z
83,Mashed potatoes,12330,,16435,12330,,,,,1900-02-25T00:00:00Z
83,Mashed potatoes,12500,,16507,12500,BREAKFAST,,CARD; 4.25X6.75; ILLUS; COL;,"ILLUS, RED FLAG WITH BRITISH LION HOLDING GLOBE OF THE WORLD; PRICED WINE LIST;",1900-02-12T00:00:00Z
83,Mashed potatoes,12512,0.2,16512,12512,DINNER,NY,BROADSIDE; ILLUS; COL; 6.5X9.75;,A LA CARTE MENU; HOTEL SEAL AT TOP OF  MENU;,1900-02-25T00:00:00Z
83,Mashed potatoes,12520,0.2,16515,12520,LUNCHEON,NY,BROADSIDE; ILLUS; COL; 4.75X7.5;,"A LA CARTE, PRICED MENU; HOTEL SEAL AT TOP;",1900-02-26T00:00:00Z
83,Mashed potatoes,12552,,16529,12552,DINNER,"DETROIT, MI",CARD; ILLUS; 5.0X8.0;,"ILLUS: DOUBLE HEADED IMPERIAL EAGLE SURMOUNTED WITH DOUBLE CROWNS; LINE DRAWING OF ELFS(?) PLAYING(?); BOTTOM OF MENU CARRIES MESSAGE: ""TONIGHT: DETROIT OPERA HOUSE - MAY IRWIN IN ""SISTER MARY."" AND LYCEUM THEATRE - PIKE THEATRE CO. IN ""THE JILT.""",1900-05-15T00:00:00Z
83,Mashed potatoes,12566,,16535,12566,DINNER,,FOLDER; 6.0X9.25;,TWO COPIES;,1900-05-17T00:00:00Z
83,Mashed potatoes,12586,,16543,12586,DINNER,SS RIO DE JANEIRO,FOLDER; ILLUS; 5.75X8.75;,"ILLUS, STEAMSHIP ON COVER IN RED WITHIN DECORATIVE BORDER; THREE COPIES;",1900-06-08T00:00:00Z
83,Mashed potatoes,12605,,16550,12605,DINNER,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.25 X 7.75;,"PORTS LISTED; PHOTOS OF SHIP, FLAG, AND SCENES IN VARIOUS COUNTRIES;",1900-08-31T00:00:00Z
83,Mashed potatoes,12620,,16557,12620,TIFFIN,,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-09-17T00:00:00Z
83,Mashed potatoes,12622,,16558,12622,DINNER,,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-09-17T00:00:00Z
83,Mashed potatoes,12628,,16561,12628,DINNER,,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-09-18T00:00:00Z
83,Mashed potatoes,12638,,16566,12638,DINNER,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-10-03T00:00:00Z
83,Mashed potatoes,12642,,16568,12642,TIFFIN,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-10-04T00:00:00Z
83,Mashed potatoes,12644,,16569,12644,DINNER,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-10-04T00:00:00Z
83,Mashed potatoes,12660,,16577,12660,DINNER,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-10-05T00:00:00Z
83,Mashed potatoes,12674,,16584,12674,DINNER, WI,FOLDER; 5X6.5;,TABLE D'HOTE MENU;,1900-12-16T00:00:00Z
83,Mashed potatoes,12722,,16604,12722,BREAKFAST,,BROADSIDE; EMBLEM; 5.5.X 7;,,1901-06-01T00:00:00Z
83,Mashed potatoes,12768,,16622,12768,DINNER,EN ROUTE TO AUSTRALIA,FOLDER ILLUS.COVER; COL;5 X 7.5;,MENU HANDWRITTEN;,1901-07-21T00:00:00Z
83,Mashed potatoes,12814,,16641,12814,BREAKFAST,SS VENTURA;,CARD;ILLUS;COL;5.5X7;,FLAG;HANDWRITTEN AND DUPLICATED;,1901-06-04T00:00:00Z
83,Mashed potatoes,1283,,12838,1283,DINNER,"[BROADWAY AND 36TH ST,NEW YORK,NY]",CARD;ILL;COL;4.25X7;,COAT OF ARMS IN UPPER LEFT;,1900-03-01T00:00:00Z
83,Mashed potatoes,12854,,16660,12854,DINNER,,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-09-15T00:00:00Z
83,Mashed potatoes,12860,,16663,12860,SUNDAY DINNER,MT,FOLDER; ILLUS; COL; 5.0X6.0;,SPLIT-PEA GREEN PAPER; GOLD EMBOSSING; FANCIFUL CIRCLE IN CENTER OF COVER WITH MOUNTAINS IN BG AND SAILBOAT ON LAKE;,1900-09-16T00:00:00Z
83,Mashed potatoes,12868,,16666,12868,DINNER,,BROADSHEET; ILLUS; 6.5 X 7.75;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-09-16T00:00:00Z
83,Mashed potatoes,12870,,16667,12870,DINNER,"WHITE MOUNTAINS, NH",FOLDER; ILLUS; 4.5X6.25;,"ILLUS, WREATH OF MAPLE LEAVES SURROUNDING TREE;",1900-09-16T00:00:00Z
83,Mashed potatoes,12918,,16687,12918,DINNER,"ALTOONA, PA",CARD; COL; 5.5 X 8.5;,LOGO; YELLOW STOCK;,1901-08-05T00:00:00Z
83,Mashed potatoes,12928,,16692,12928,LUNCH,EN ROUTE ABOARD DAMPFER BARBAROSSA,CARD; COL; ILLUS; 5.5 X 8;,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF MEN AND WOMEN ON DECK; BACK OF CARD SET UP FOR USE AS A POST CARD;,1901-04-27T00:00:00Z
83,Mashed potatoes,1299,,12845,1299,DINNER,,FOLDER;ILL;COL;5.5X8.5;,"HANDWRITTEN ITEMS OF PRINTED FORM;FLAGS,ANCHOR,PORTHOLES WITH SCENES;SEA WITH BIRD ON BACK COVER;2 COPIES;",1900-03-02T00:00:00Z
83,Mashed potatoes,12992,,16718,12992,DINNER,THE PULLMAN COMPANY - EN ROUTE,CARD; 4.75 X 6.5;,PRIX FIXE MENU;,1901-08-31T00:00:00Z
83,Mashed potatoes,13006,,16725,13006,DINNER,,CARD; 4.5 X 6.25;,"SECTION OF NEWSPAPER CLIPPING FROM ...YORK MAIL AND EXPRESS DATED SEPT. 7, 1901, AND PHOTO OF TENNIS PLAYER ON BACK;",1901-09-01T00:00:00Z
83,Mashed potatoes,13008,,16726,13008,,,,,1901-09-01T00:00:00Z
83,Mashed potatoes,13014,,16729,13014,DINNER,THE PULLMAN COMPANY - EN ROUTE,CARD; 4.75 X 6.5;,PRIX FIXE MENU;,1901-09-03T00:00:00Z
83,Mashed potatoes,13054,,16742,13054,LUNCHEON,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-02-28T00:00:00Z
83,Mashed potatoes,13056,,16743,13056,DINNER,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-02-27T00:00:00Z
83,Mashed potatoes,13058,,16744,13058,LUNCHEON,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-02-28T00:00:00Z
83,Mashed potatoes,13060,,16745,13060,DINNER,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-02-28T00:00:00Z
