"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"20",374956,"Boiled potatoes",23413,NA,20572,23413,"DINNER","","FOLDER;5.5X8.75;","HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;2 COPIES;","1900-05-13T00:00:00Z",""
"21",374956,"Boiled potatoes",23543,NA,20631,23543,"BREAKFAST","","BROADSIDE; ILLUS BORDER; COL; 5.25 X 7.75;","HANDWRITTEN MENU;","1900-11-23T00:00:00Z",""
"22",374956,"Boiled potatoes",23547,NA,20633,23547,"DINNER","","BROADSHEET; ILLUS, JAPANESE COUNTRY; COL; 10.5 X 9.5;","MENU HANDWRITTEN; MAP ON BACK SHOWING ROUTE;","1900-11-23T00:00:00Z",""
"23",374956,"Boiled potatoes",23683,NA,20692,23683,"DINNER","","FOLDER; 5.75X8.75","2 COPIES;","1900-05-04T00:00:00Z",""
"24",374956,"Boiled potatoes",23861,NA,20774,23861,"TIFFIN","","BROADSIDE; 5.5 X 7.75;","HANDWRITTEN; RED BORDER;","1900-10-25T00:00:00Z",""
"25",374956,"Boiled potatoes",2407,NA,13246,2407,"LUNCHEON","IL","CARD; ILLUS; COL; 5X8.5;","TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU;","1900-07-10T00:00:00Z","IL"
"26",374956,"Boiled potatoes",24177,NA,20919,24177,"TIFFIN","","BROADSHEET;5.5X7.75;","HANDWRITTEN;NO DATE;NO SHIP NAME;","1900-01-01T00:00:00Z",""
"27",374956,"Boiled potatoes",25918,NA,21410,25918,"DINNER","NARRAGANSETT PIER R.I.","CARD;ILL;COL;5X8;","PSEUDO-CREST ON UPPER LEFT;","1899-08-24T00:00:00Z","AR"
"28",374956,"Boiled potatoes",2653,NA,13328,2653,"CHRISTMAS DINNER","S.S.CHINA","FOLDER;ILLUS;COL;6.25X8;","SHIP AT SEA;HOLLY AND BERRIES;FLAG;","1900-12-25T00:00:00Z","HI"
"29",374956,"Boiled potatoes",28541,NA,22125,28541,"QUEEN VICTORIA'S BIRTHDAY","FL","CARD; ILLUS; 5.25 X 8;","AMERICAN AND BRITISH FLAGS; QUOTE BLOOD IS THICKER THAN WATER;","1898-05-24T00:00:00Z","FL"
"30",374956,"Boiled potatoes",29153,NA,22280,29153,"DINNER","PHILADELPHIA","FOLDER; ILLUS; 9.5 X 6;","DRAWING OF HOTEL; PRICED WINE LIST; OPERA THEATRE TICKETS AVAILABLE;","1882-05-02T00:00:00Z","DE"
"31",374956,"Boiled potatoes",2917,0.2,13414,2917,"LUNCHEON","","BROADSIDE; COL; 5.25 X 9;","ALL PRICES INCLUDED;","1900-08-02T00:00:00Z",""
"32",374956,"Boiled potatoes",29402,NA,22333,29402,"DINNER","","CARD; COL; 5 X 9;","LOGO; BLUE STOCK;","1901-01-28T00:00:00Z",""
"33",374956,"Boiled potatoes",29481,NA,22360,29481,"BREAKFAST MENU","NY","BROADSIDE","INCLUDES BREAKFAST WINES","1859-07-01T00:00:00Z","NY"
"34",374956,"Boiled potatoes",29906,NA,22489,29906,"DINNER","","CARD;ILL;COL;3.25X5;","","1899-07-02T00:00:00Z",""
"35",374956,"Boiled potatoes",301,NA,12515,301,"LUNCH","DENVER, COLO;","CARD;3.5 X 5;","","1888-10-15T00:00:00Z","CO"
"36",374956,"Boiled potatoes",30200,NA,22576,30200,"DINNNER","","CARD; 5X9;","","1901-01-24T00:00:00Z",""
