"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"744",83,"Mashed potatoes",28757,NA,22178,28757,"DINNER","[SR RR]ENROUTE NASHVILLE TO WASHINGTON [DC]","CARD;5.5X7.5;","","1897-06-14T00:00:00Z","WA"
"745",83,"Mashed potatoes",28803,NA,22186,28803,"EASTER SUNDAY DINNER","NY","FOLDER; ILLUS; COL; 4.5X8;","SILK RIBBON ATTACHMENT; DRAWING OF WOMAN ON INNER PAGE;","1899-04-02T00:00:00Z","NY"
"746",83,"Mashed potatoes",28845,NA,22197,28845,"DINNER TO THE PRESIDENT OF THE US & THE INLAND WATERWAYS COMMISSION","ON BOARD STEAMBOAT ""ALTON""","BOOKLET;ILLUS; 7.25X7.5;","WINES;LIST OF GUESTS & HOSTS;MUSICAL PROGRAM INCLUDED;","1907-10-02T00:00:00Z","AL"
"747",83,"Mashed potatoes",28873,NA,22201,28873,"DINNER","","FOLDER; 4.5 X 7.25;","","1901-02-20T00:00:00Z",""
"748",83,"Mashed potatoes",28883,NA,22204,28883,"DINNER","","FOLDER; ILLUS; COL; 5.5X7;","INCLUDES HOURS FOR MEALS, ARRIVAL & DEPARTURE OF MAILS, ARRIVAL & DEPARTURE OF POLAND SPRING STAGE LINE; SEAL ON FRONT COVER, ILLUSTRATION OF HOTEL DINING ROOM ON BACK COVER;","1898-09-17T00:00:00Z",""
"749",83,"Mashed potatoes",28889,NA,22205,28889,"NEW YEARS DAY DINNER","TACOMA, [WA?}","FOL; ILLUS; COL;4.5X5.5;","EMBOSSED FLOWERS ON COVER; PRICED ITEMS","1894-01-01T00:00:00Z","CO"
"750",83,"Mashed potatoes",28903,NA,22210,28903,"DINNER","","BROADSIDE; COL; 5.25 X 7;","PRINTED IN BROWN AND BLUE;","1893-08-14T00:00:00Z",""
"751",83,"Mashed potatoes",2891,NA,13401,2891,"DINNER","VA","CARD; COL; 4.25 X 6.25;","GREEN PAPER; LOGO;","1900-07-29T00:00:00Z","VA"
"752",83,"Mashed potatoes",28917,0.1,22215,28917,"DAY DINNER","454-456-458 SIXTH AVENUE, NEAR 28TH STREET, NEW YORK, NY [?]","FOLDER; 7.0X11.125;","MENU PARTIALLY HAND WRITTEN; WHOLESALE WINE LIST;","1900-01-10T00:00:00Z","NY"
"753",83,"Mashed potatoes",28931,NA,22219,28931,"LUNCHEON","","CARD; 3.75X7.5;","","1901-01-22T00:00:00Z",""
"754",83,"Mashed potatoes",2895,NA,13403,2895,"DINNER","CA","CARD; 4.5 X 7.5;","PRICED WINE LIST; DAYS TEMPERATURE AT NOON NOTED;","1900-07-30T00:00:00Z","CA"
"755",83,"Mashed potatoes",28964,NA,22227,28964,"MENU DU DEJEUNER","JERUSALEM, PALESTINE","CARD; ILLUS; 5X8;","MENU IN FRENCH; [DATE INFO SUPPLIED BY FEB]; MENU HANDWRITTEN IN BLACK INK; PHOTOGRAPH AT TOP OF MENU OF ROCHESTER CASTLE;","1909-01-04T00:00:00Z","AL"
"756",83,"Mashed potatoes",28975,NA,22230,28975,"MENU","JACKSONVILLE, FL","CARD; ILLUS; 4.5X7.25;","SKETCH OF HOTEL AT TOP OF MENU;","1901-02-28T00:00:00Z","FL"
"757",83,"Mashed potatoes",2899,NA,13405,2899,"DINNER","CA","BROADSIDE;ILLUS;4.5 X 7.5;","MEAL HOURS LISTED; MUSIC PROGRAM INCLUDED;","1900-08-01T00:00:00Z","CA"
"758",83,"Mashed potatoes",29015,NA,22242,29015,"ZWEITES FRUHSTUCK","SCHNELLDAMPFER ""AUGUSTE VICTORIA""","CARD; ILLUS; COL; 5X8;","GERMAN & ENGLISH; ILLUSTRATION OF STEAMER, GODDESS OF FOOD, DECORATIVE VINES & FRUITS;","1901-04-04T00:00:00Z","CT"
"759",83,"Mashed potatoes",29021,0.05,22245,29021,"LUNCH &/OR DINNER","OH","BROADSIDE; PHOTO; COL; 5.25 X 8.5;","PRICES FOR EACH ITEM LISTED;","1901-02-03T00:00:00Z","OH"
"760",83,"Mashed potatoes",2903,NA,13407,2903,"DINNER","BELMAR,NJ","BROADSIDE; ENGRAVED EMBLEM; COL; 5.5 X 7.75;","","1900-08-01T00:00:00Z","AR"
"761",83,"Mashed potatoes",29064,NA,22258,29064,"DAILY MENU","8 CENTRAL AVENUE, NEWARK, NJ","FOLDER; 5.5 X 9.5;","PRICED MENU, LARGELY HANDWRITTEN; NOTE ABOUT PURITY OF DRINKING WATER;","1907-09-04T00:00:00Z","AL"
"762",83,"Mashed potatoes",29079,0.2,22262,29079,"LUNCH AND DINNER","","CARD;ILL;COL;6.5X10;","LION IN BLUE WITH ESTABLISHMENT NAME;","1900-01-17T00:00:00Z",""
"763",83,"Mashed potatoes",2909,NA,13410,2909,"LUNCHEON","NY","BROADSIDE; 5 X 7.5;","H.S.CLEMENT, PROP.LISTED;","1900-08-01T00:00:00Z","NY"
"764",83,"Mashed potatoes",2913,NA,13412,2913,"DINNER","NY","BROADSIDE; ILLUS; 4.5 X 7.25;","H.S.CLEMENT,PROP.LISTED;","1900-08-02T00:00:00Z","NY"
"765",83,"Mashed potatoes",29131,NA,22273,29131,"LUNCHEON","FL","CARD; ILLUS; COL; 3.75X7.5;","HOTEL SEAL AT TOP OF MENU;","1901-03-13T00:00:00Z","FL"
"766",83,"Mashed potatoes",29133,NA,22274,29133,"LUNCHEON","FL","BROADSIDE; COL; 4 X 7.5;","","1901-02-22T00:00:00Z","FL"
"767",83,"Mashed potatoes",29151,NA,22279,29151,"DINNER","","BROADSIDE; FLAG EMBLEM; 4.5X6.5;","","1905-07-16T00:00:00Z",""
"768",83,"Mashed potatoes",29163,NA,22284,29163,"LUNCH","","BROADSIDE; COL; 4.5 X 7;","","1901-02-26T00:00:00Z",""
"769",83,"Mashed potatoes",29165,NA,22285,29165,"DINNER","FL","CARD; ILLUS; COL; 4.5X8.75;","HOTEL SEAL AT TOP OF MENU;","1901-03-01T00:00:00Z","FL"
"770",83,"Mashed potatoes",29223,0.15,22299,29223,"DAILY SPECIALS","NY","BROADSIDE; ILLUS; COL; 6.5 X 10;","SERVED FROM 12 NOON TO 8PM ONLY;","1900-01-13T00:00:00Z","NY"
"771",83,"Mashed potatoes",29229,NA,22302,29229,"LUNCHEON MENU","MA","BROADSHEET; ILLUS; COL; 4X6;","HOTEL SEAL AT TOP OF MENU;","1898-09-29T00:00:00Z","MA"
"772",83,"Mashed potatoes",29247,0.1,22305,29247,"DAILY MENU","HOBOKEN STATION, NJ","FOLDER; ILLUS; 7X9;","ILLUSTRATION OF BIRDS ON COVER; NOTE ON MENU STATING ""PARTIES DESIRING SUPPER AFTER THEATRE, WILL BE ASSURED PROMPT ATTENTION IF ORDER IS GIVEN CASHIER BEFORE GOING TO NEW YORK""; DATE NOTED BY FEB;","1905-05-07T00:00:00Z","NJ"
"773",83,"Mashed potatoes",29316,NA,22316,29316,"COMPLIMENTARY DINNER IN HONOR OF GOV. F. W. ROLLINS OF NEW HAMPSHIRE","TAMPA BAY HOTEL, TAMPA, FL","FOLDER; ILLUS; COL; 4.5X7;","HOTEL SEAL ON COVER; GUEST LIST INCLUDED; SILK THREAD ATTACHMENT;","1901-03-02T00:00:00Z","FL"
"774",83,"Mashed potatoes",29322,NA,22317,29322,"BREAKFAST","KAISER FRIEDRICH AT SEA","CARD; ILLUS; 5.25 X 8;","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF STEAMSHIP; BACK OF MENU PRINTED FOR USE AS A POSTCARD;","1899-04-13T00:00:00Z","RI"
"775",83,"Mashed potatoes",29328,NA,22319,29328,"LUNCHEON","FL","CARD; COL; 4 X 7.5;","LOGO; BLUE STOCK;","1901-01-27T00:00:00Z","FL"
"776",83,"Mashed potatoes",29402,NA,22333,29402,"DINNER","","CARD; COL; 5 X 9;","LOGO; BLUE STOCK;","1901-01-28T00:00:00Z",""
"777",83,"Mashed potatoes",29414,NA,22337,29414,"SPECIAL LUNCHEON","IL","CARD; ILLUS; COL; 4X7;","TABLE D'HOTE SPECIAL LUNCHEON - 75 CENTS; ILLUSTRATION OF HOTEL AT TOP OF MENU;","1907-06-28T00:00:00Z","IL"
"778",83,"Mashed potatoes",29424,NA,22341,29424,"LUNCH","FL","BROADSIDE;ILL;COL;4.5X7;","HOTEL EMBLEM;","1901-03-27T00:00:00Z","FL"
"779",83,"Mashed potatoes",29483,NA,22361,29483,"THANKSGIVING DINNER","","FOLDER; ILLUS; 4.75 X 6.0;","ILLUS. TURKEY, EMBOSSED; SCROLL;","1899-11-30T00:00:00Z",""
"780",83,"Mashed potatoes",29496,NA,22365,29496,"THANKSGIVING DINNER","PORTLAND, OREGON","BOOKLET; ILL; 5.25X6.75","FASTENED AT LEFT BY RIBBON","1891-11-01T00:00:00Z","OR"
"781",83,"Mashed potatoes",29520,NA,22371,29520,"DINNER","","CARD; 4.75 X 6.5;","","1891-09-09T00:00:00Z",""
"782",83,"Mashed potatoes",2953,0.1,13430,2953,"LUNCHEON","","BROADSHEET; ILLUS; COL; 5.25X7.5;","A LA CARTE LUNCHEON MENU; UNION PACIFIC LOGO AT TOP OF MENU; ""NO ITEM LESS THAN 25 CENTS TO EACH PERSON SERVED;"" MAP OF UNION PACIFIC ROUTE ON BACK OF MENU;[DATE INFO SUPPLIED BY FEB];","1900-05-01T00:00:00Z",""
"783",83,"Mashed potatoes",29534,NA,22374,29534,"TABLE D'HOTE DINNER MENU","NY","CARD; ILLUS; COL; 4.6X7;","PRICE: $1.50; HOTEL SEAL AT TOP OF MENU; [PLACE INFO SUPPLIED BY FEB];","1907-04-19T00:00:00Z","NY"
"784",83,"Mashed potatoes",2955,NA,13431,2955,"DINER","","FOLDER; ILLUS; COL; 5.75X8.75;","DECORATIVE BORDER;","1900-05-20T00:00:00Z",""
"785",83,"Mashed potatoes",29550,NA,22380,29550,"DINNER","","FOLDER; 4.5 X 7.25;","","1901-03-22T00:00:00Z",""
"786",83,"Mashed potatoes",29558,NA,22382,29558,"LUNCH","SS HOHENZOLLERN","CARD;ILL;COL;5.5X8.25;","SHIP AT SEA IN SMALL INSET;MENUS SEPARATE IN GERMAN AND ENGLISH;MAY BE USED AS POSTCARD;","1901-04-21T00:00:00Z","OH"
"787",83,"Mashed potatoes",29590,NA,22392,29590,"DINNER","","BROADSIDE; COL; 5 X 9;","","1901-02-02T00:00:00Z",""
"788",83,"Mashed potatoes",29595,0.15,22395,29595,"DINNER MENU","THIRTY-SEVEN MADISON AVENUE [NEW YORK]","FOLDER; COL; 5.5 X 7.75;","PRICED MENU; BUFF COVER;","1906-04-27T00:00:00Z","NY"
"789",83,"Mashed potatoes",2963,NA,13433,2963,"LUNCHEON","ST. LOUIS, [MO] MENU SAYS U.S.A.","CARD; ILLUS; COL; 5.25 X 7.5;","UNPRICED MENU; BLUE; ILLUSTRATION OF GRAND HOTEL, MACKINAC ISLAND, MI DUE TO OPEN JULY, 1, 1900","1900-06-19T00:00:00Z","ME"
"790",83,"Mashed potatoes",29660,NA,22412,29660,"TABLE D'HOTE DINNER","NY","BROADSHEET; 4.5X7.25;","AMERICAN PLAN DINNER; WITH WINE 50 CENTS; A LA CARTE ITEMS LISTED;","1900-01-29T00:00:00Z","NY"
